ATM ID,Error Name,Confidence Value
1FNVAR85,All Cassette Faulted (DIEBOLD),0.0
1FNVAR85,All Cassette Faulted (NCR),0.0
1FNVAR85,both supply and supervisor switches on (DIEBOLD 10xx),0.0
1FNVAR85,card reader failure (DIEBOLD 10xx),0.0
1FNVAR85,cash handler  fatal (NCR),0.0
1FNVAR85,cash handler reject bin overfill (NCR),0.0
1FNVAR85,Cashout (DIEBOLD),0.0
1FNVAR85,Cashout (NCR),0.0
1FNVAR85,close (DIEBOLD 10xx),0.0
1FNVAR85,close (NCR),0.6818181818181818
1FNVAR85,down - communication failure (DIEBOLD 10xx),0.0
1FNVAR85,down - communication failure (NCR),0.6507936507936508
1FNVAR85,encrypted pin pad failure (DIEBOLD 10xx),0.0
1FNVAR85,encryptor  fatal (NCR),0.0
1FNVAR85,journal paper out (NCR),0.0
1FNVAR85,journal printer  fatal (NCR),0.0
1FNVAR85,journal printer paper out (DIEBOLD 10xx),0.0
1FNVAR85,magnetic card read/write  fatal (NCR),0.0
1FNVAR85,supervisor mode alarm is on (NCR),0.6818181818181818
1FNVAR85,supervisor switch on (DIEBOLD 10xx),0.0
1FNVAR85,receipt printer fatal (NCR),0.0
1RDNAJM02,All Cassette Faulted (DIEBOLD),0.0
1RDNAJM02,All Cassette Faulted (NCR),0.0
1RDNAJM02,both supply and supervisor switches on (DIEBOLD 10xx),0.0
1RDNAJM02,card reader failure (DIEBOLD 10xx),0.0
1RDNAJM02,cash handler  fatal (NCR),0.0
1RDNAJM02,cash handler reject bin overfill (NCR),0.0
1RDNAJM02,Cashout (DIEBOLD),0.0
1RDNAJM02,Cashout (NCR),0.0
1RDNAJM02,close (DIEBOLD 10xx),0.0
1RDNAJM02,close (NCR),0.0
1RDNAJM02,down - communication failure (DIEBOLD 10xx),0.0
1RDNAJM02,down - communication failure (NCR),0.0
1RDNAJM02,encrypted pin pad failure (DIEBOLD 10xx),0.0
1RDNAJM02,encryptor  fatal (NCR),0.0
1RDNAJM02,journal paper out (NCR),0.0
1RDNAJM02,journal printer  fatal (NCR),0.0
1RDNAJM02,journal printer paper out (DIEBOLD 10xx),0.0
1RDNAJM02,magnetic card read/write  fatal (NCR),0.0
1RDNAJM02,supervisor mode alarm is on (NCR),0.0
1RDNAJM02,supervisor switch on (DIEBOLD 10xx),0.0
1RDNAJM02,receipt printer fatal (NCR),0.0
1RDNAJM11,All Cassette Faulted (DIEBOLD),0.0
1RDNAJM11,All Cassette Faulted (NCR),0.0
1RDNAJM11,both supply and supervisor switches on (DIEBOLD 10xx),0.0
1RDNAJM11,card reader failure (DIEBOLD 10xx),0.0
1RDNAJM11,cash handler  fatal (NCR),0.25
1RDNAJM11,cash handler reject bin overfill (NCR),0.0
1RDNAJM11,Cashout (DIEBOLD),0.0
1RDNAJM11,Cashout (NCR),0.0
1RDNAJM11,close (DIEBOLD 10xx),0.0
1RDNAJM11,close (NCR),0.3488372093023256
1RDNAJM11,down - communication failure (DIEBOLD 10xx),0.0
1RDNAJM11,down - communication failure (NCR),0.31921824104234525
1RDNAJM11,encrypted pin pad failure (DIEBOLD 10xx),0.0
1RDNAJM11,encryptor  fatal (NCR),0.0
1RDNAJM11,journal paper out (NCR),0.3541666666666667
1RDNAJM11,journal printer  fatal (NCR),0.3541666666666667
1RDNAJM11,journal printer paper out (DIEBOLD 10xx),0.0
1RDNAJM11,magnetic card read/write  fatal (NCR),0.4
1RDNAJM11,supervisor mode alarm is on (NCR),0.34285714285714286
1RDNAJM11,supervisor switch on (DIEBOLD 10xx),0.0
1RDNAJM11,receipt printer fatal (NCR),0.0
1RDNALD10,All Cassette Faulted (DIEBOLD),0.0
1RDNALD10,All Cassette Faulted (NCR),0.0
1RDNALD10,both supply and supervisor switches on (DIEBOLD 10xx),0.0
1RDNALD10,card reader failure (DIEBOLD 10xx),0.0
1RDNALD10,cash handler  fatal (NCR),0.0
1RDNALD10,cash handler reject bin overfill (NCR),0.0
1RDNALD10,Cashout (DIEBOLD),0.0
1RDNALD10,Cashout (NCR),0.0
1RDNALD10,close (DIEBOLD 10xx),0.0
1RDNALD10,close (NCR),0.0
1RDNALD10,down - communication failure (DIEBOLD 10xx),0.0
1RDNALD10,down - communication failure (NCR),0.0
1RDNALD10,encrypted pin pad failure (DIEBOLD 10xx),0.0
1RDNALD10,encryptor  fatal (NCR),0.0
1RDNALD10,journal paper out (NCR),0.0
1RDNALD10,journal printer  fatal (NCR),0.0
1RDNALD10,journal printer paper out (DIEBOLD 10xx),0.0
1RDNALD10,magnetic card read/write  fatal (NCR),0.0
1RDNALD10,supervisor mode alarm is on (NCR),0.0
1RDNALD10,supervisor switch on (DIEBOLD 10xx),0.0
1RDNALD10,receipt printer fatal (NCR),0.0
1RDNANA10,All Cassette Faulted (DIEBOLD),0.0
1RDNANA10,All Cassette Faulted (NCR),0.0
1RDNANA10,both supply and supervisor switches on (DIEBOLD 10xx),0.0
1RDNANA10,card reader failure (DIEBOLD 10xx),0.0
1RDNANA10,cash handler  fatal (NCR),0.0
1RDNANA10,cash handler reject bin overfill (NCR),0.0
1RDNANA10,Cashout (DIEBOLD),0.0
1RDNANA10,Cashout (NCR),0.0
1RDNANA10,close (DIEBOLD 10xx),0.0
1RDNANA10,close (NCR),0.0
1RDNANA10,down - communication failure (DIEBOLD 10xx),0.0
1RDNANA10,down - communication failure (NCR),0.0
1RDNANA10,encrypted pin pad failure (DIEBOLD 10xx),0.0
1RDNANA10,encryptor  fatal (NCR),0.0
1RDNANA10,journal paper out (NCR),0.0
1RDNANA10,journal printer  fatal (NCR),0.0
1RDNANA10,journal printer paper out (DIEBOLD 10xx),0.0
1RDNANA10,magnetic card read/write  fatal (NCR),0.0
1RDNANA10,supervisor mode alarm is on (NCR),0.0
1RDNANA10,supervisor switch on (DIEBOLD 10xx),0.0
1RDNANA10,receipt printer fatal (NCR),0.0
1RDNJAI13,All Cassette Faulted (DIEBOLD),0.0
1RDNJAI13,All Cassette Faulted (NCR),0.0
1RDNJAI13,both supply and supervisor switches on (DIEBOLD 10xx),0.0
1RDNJAI13,card reader failure (DIEBOLD 10xx),0.0
1RDNJAI13,cash handler  fatal (NCR),0.0
1RDNJAI13,cash handler reject bin overfill (NCR),0.0
1RDNJAI13,Cashout (DIEBOLD),0.0
1RDNJAI13,Cashout (NCR),0.0
1RDNJAI13,close (DIEBOLD 10xx),0.0
1RDNJAI13,close (NCR),0.25925925925925924
1RDNJAI13,down - communication failure (DIEBOLD 10xx),0.0
1RDNJAI13,down - communication failure (NCR),0.1
1RDNJAI13,encrypted pin pad failure (DIEBOLD 10xx),0.0
1RDNJAI13,encryptor  fatal (NCR),0.0
1RDNJAI13,journal paper out (NCR),0.0
1RDNJAI13,journal printer  fatal (NCR),0.0
1RDNJAI13,journal printer paper out (DIEBOLD 10xx),0.0
1RDNJAI13,magnetic card read/write  fatal (NCR),0.0
1RDNJAI13,supervisor mode alarm is on (NCR),0.25925925925925924
